Image Description,Figure,Owner,Source,Date Received
Discord Servers,Fig. 1,Freepik,https://www.flaticon.com/free-icon/discord_5968756,07/18/25
Professional Networks,Fig. 1,Freepik,https://www.flaticon.com/free-icon/share_2783668,07/18/25
Snowball Sampling,Fig. 1,Freepik,https://www.flaticon.com/free-icon/snowball_4068766,07/18/25
Participants,Fig. 1,surang,https://www.flaticon.com/free-icon/coding_3242313,07/18/25
Survey,Fig. 1,Freepik,https://www.flaticon.com/free-icon/call-center_2707042,07/18/25
Complete Responses,Fig. 1,Octopocto,https://www.flaticon.com/free-icon/check-mark_5290058,07/18/25
Response Coding,Fig. 1,Freepik,https://www.flaticon.com/free-icon/product-development_4229839,07/18/25
Quantitative & Qualitative Analysis,Fig. 1,monkik,https://www.flaticon.com/free-icon/data_993725,07/18/25
RQ1: Challenges,Fig. 1,Mayor Icons,https://www.flaticon.com/free-icon/challenge_10895969,07/18/25
RQ2: Processes,Fig. 1,Gregor Cresnar Premium,https://www.flaticon.com/free-icon/settings_563541,07/18/25
RQ3: Tool Usage,Fig. 1,Prosymbols,https://www.flaticon.com/free-icon/settings_627495,07/18/25
